case,grid,porosity,relative_density,E_rel_z,E_rel_x,K_sc_z,D_eff_z,specific_surface_per_mm,pore_size_um,strut_thickness_um,family,topology,mode,n_cells,target_porosity,n_struts,n_layers,strut_d,stagger
TPMS|fischerKochS|network|c2|P0.75,24,0.7963,0.2037,0.027455,0.027455,26.165,0.611162,5.875,372.7,166.7,TPMS,fischerKochS,network,2.0,0.75,,,,
TPMS|fischerKochS|network|c2|P0.75,32,0.7422,0.2578,0.054897,0.054897,15.114,0.523287,7.0312,306.2,176.8,TPMS,fischerKochS,network,2.0,0.75,,,,
TPMS|fischerKochS|network|c2|P0.75,44,0.7498,0.2502,0.046247,0.046247,17.614,0.56918,7.2397,314.9,181.8,TPMS,fischerKochS,network,2.0,0.75,,,,
TPMS|fischerKochS|sheet|c1|P0.40,16,0.3984,0.6016,0.395269,0.395269,2.905,0.051201,6.375,353.6,353.6,TPMS,fischerKochS,sheet,1.0,0.4,,,,
TPMS|fischerKochS|sheet|c1|P0.40,20,0.4,0.6,0.375014,0.375014,3.04,0.089759,6.24,400.0,346.4,TPMS,fischerKochS,sheet,1.0,0.4,,,,
TPMS|fischerKochS|sheet|c1|P0.40,24,0.4051,0.5949,0.355874,0.355874,3.248,0.092116,6.6458,333.3,288.7,TPMS,fischerKochS,sheet,1.0,0.4,,,,
TPMS|fischerKochS|sheet|c1|P0.40,32,0.4004,0.5996,0.360382,0.360382,3.249,0.104381,6.4922,306.2,279.5,TPMS,fischerKochS,sheet,1.0,0.4,,,,
TPMS|fischerKochS|sheet|c1|P0.40,44,0.3986,0.6014,0.356422,0.356422,3.293,0.123228,6.5888,301.5,272.7,TPMS,fischerKochS,sheet,1.0,0.4,,,,
TPMS|fischerKochS|sheet|c1|P0.60,16,0.6016,0.3984,0.17941,0.17941,5.89,0.250803,7.0312,433.0,250.0,TPMS,fischerKochS,sheet,1.0,0.6,,,,
TPMS|fischerKochS|sheet|c1|P0.60,20,0.608,0.392,0.186639,0.186639,5.778,0.244426,7.26,400.0,282.8,TPMS,fischerKochS,sheet,1.0,0.6,,,,
TPMS|fischerKochS|sheet|c1|P0.60,24,0.5995,0.4005,0.182352,0.182352,5.84,0.244623,7.375,372.7,235.7,TPMS,fischerKochS,sheet,1.0,0.6,,,,
TPMS|fischerKochS|sheet|c1|P0.60,32,0.5996,0.4004,0.184253,0.184253,5.88,0.254968,7.4766,375.0,176.8,TPMS,fischerKochS,sheet,1.0,0.6,,,,
TPMS|fischerKochS|sheet|c1|P0.60,44,0.5988,0.4012,0.184199,0.184199,5.93,0.270033,7.4752,363.6,203.3,TPMS,fischerKochS,sheet,1.0,0.6,,,,
TPMS|fischerKochS|sheet|c1|P0.75,16,0.7422,0.2578,0.090754,0.090754,10.113,0.457057,6.8438,433.0,250.0,TPMS,fischerKochS,sheet,1.0,0.75,,,,
TPMS|fischerKochS|sheet|c1|P0.75,20,0.752,0.248,0.085984,0.085984,10.892,0.36526,7.56,447.2,200.0,TPMS,fischerKochS,sheet,1.0,0.75,,,,
TPMS|fischerKochS|sheet|c1|P0.75,24,0.75,0.25,0.084984,0.084984,11.041,0.376593,7.875,408.2,166.7,TPMS,fischerKochS,sheet,1.0,0.75,,,,
TPMS|fischerKochS|sheet|c1|P0.75,32,0.748,0.252,0.094031,0.094031,10.609,0.361327,7.7695,395.3,125.0,TPMS,fischerKochS,sheet,1.0,0.75,,,,
TPMS|fischerKochS|sheet|c1|P0.75,44,0.7509,0.2491,0.088775,0.088775,11.52,0.386041,7.8595,385.7,128.6,TPMS,fischerKochS,sheet,1.0,0.75,,,,
TPMS|fischerKochS|sheet|c2|P0.40,16,0.4263,0.5737,0.401899,0.401858,2.887,0.076853,10.0938,250.0,250.0,TPMS,fischerKochS,sheet,2.0,0.4,,,,
TPMS|fischerKochS|sheet|c2|P0.40,20,0.4,0.6,0.456077,0.456077,2.37,0.070984,13.32,200.0,200.0,TPMS,fischerKochS,sheet,2.0,0.4,,,,
TPMS|fischerKochS|sheet|c2|P0.40,24,0.3739,0.6261,0.464331,0.464425,2.554,0.07696,11.5694,166.7,235.7,TPMS,fischerKochS,sheet,2.0,0.4,,,,
